gene	pearson_corr	pearson_pvalue	pearson_FDR	spearman_corr	spearman_pvalue	spearman_FDR	mean_RNA	mean_protein	sd_RNA	sd_protein	number_of_samples
RSL1D1	0.5989	1.716e-07	3.87e-07	0.5628	1.293e-06	2.81e-06	149.01	-0.01	55.89	0.24	64
RSL24D1	0.2767	0.02684	0.0325	0.2416	0.05447	0.0651	198.1	-0.1	77.37	0.25	64
RSPRY1	0.3	0.01603	0.0198	0.366	0.002939	0.0041	40.48	0	10.6	0.21	64
RSRC1	0.5789	5.418e-07	1.14e-06	0.606	1.123e-07	2.82e-07	51.81	0.01	13.9	0.17	64
RSRC2	0.3928	0.001325	0.00183	0.3737	0.002351	0.00332	58.81	0.08	18	0.14	64
RSRP1	0.0312	0.823	0.837	0.1518	0.2731	0.299	48.72	0.04	20.47	0.51	54
RSU1	0.4962	3.051e-05	5.12e-05	0.4272	0.0004299	0.000668	57.31	-0.04	16.05	0.22	64
RTCA	0.6967	1.621e-10	5.67e-10	0.697	1.583e-10	5.84e-10	49.18	0.06	11.87	0.25	64
RTCB	0.2355	0.06099	0.0711	0.1905	0.1317	0.15	125.28	0.05	37.84	0.15	64
RTEL1	0.49	3.968e-05	6.58e-05	0.3886	0.001506	0.00218	2.37	-0.12	0.83	0.38	64
RTF1	0.573	7.512e-07	1.55e-06	0.4866	4.566e-05	8.05e-05	62.46	0.05	17.07	0.14	64
RTF2	0.7569	4.657e-13	2.52e-12	0.7293	8.283e-12	3.62e-11	61.76	-0.03	15.13	0.23	64
RTKN	0.763	2.329e-13	1.34e-12	0.7328	5.85e-12	2.62e-11	7.4	0.17	4.96	0.52	64
RTKN2	0.6157	6.156e-08	1.49e-07	0.8304	2.134e-17	1.97e-16	14.53	0.05	14.05	0.8	64
RTL10	0.7214	1.76e-11	7.31e-11	0.5517	2.3e-06	4.83e-06	38.08	0.06	18.97	0.4	64
RTL6	0.8636	2.245e-14	1.57e-13	0.8239	3.595e-12	1.66e-11	41.33	0.01	38.57	0.64	45
RTN1	0.5451	3.201e-06	6.08e-06	0.3479	0.004854	0.00658	0.18	0.25	0.39	0.47	64
RTN2	0.524	2.423e-05	4.11e-05	0.5673	3.433e-06	7.03e-06	2.57	-0.39	2.16	0.68	58
RTN3	0.2183	0.08306	0.0955	0.0977	0.4424	0.47	79.96	0.03	24.05	0.27	64
RTN4	0.6765	8.515e-10	2.65e-09	0.6322	2.107e-08	5.83e-08	80.47	0.03	23.35	0.28	64
RTN4IP1	0.6844	4.511e-10	1.46e-09	0.7334	5.488e-12	2.46e-11	24.13	0.03	13.8	0.34	64
RTN4R	0.489	4.133e-05	6.83e-05	0.5214	9.983e-06	1.93e-05	4.36	0.14	4.49	0.78	64
RTN4RL2	0.445	0.0002294	0.000347	0.7571	4.519e-13	2.35e-12	1.64	0.09	3.11	0.87	64
RTP4	0.7909	1.682e-10	5.87e-10	0.8469	4.305e-13	2.25e-12	14.82	-0.25	8.53	0.89	44
RTRAF	0.2375	0.05878	0.0686	0.1874	0.1382	0.157	74.23	-0.01	24.73	0.14	64
RTTN	0.3547	0.004033	0.0053	0.3347	0.006865	0.00916	19.3	0.02	7.88	0.25	64
RUBCN	0.4729	7.96e-05	0.000128	0.328	0.008146	0.0108	14.57	0.05	7.71	0.4	64
RUBCNL	0.6411	1.153e-08	3.08e-08	0.6975	1.516e-10	5.59e-10	44.59	-0.22	98.15	0.98	64
RUFY1	0.7728	7.408e-14	4.68e-13	0.7408	2.61e-12	1.23e-11	30.84	0.18	8.71	0.27	64
RUFY2	0.447	0.0002132	0.000324	0.2321	0.06497	0.0768	12.41	0.05	6.91	0.25	64
RUFY3	0.872	6.649e-21	2.57e-19	0.8704	9.644e-21	1.59e-19	29.87	-0.04	16.43	0.46	64
RUNDC1	0.5456	3.129e-06	5.95e-06	0.5585	1.62e-06	3.48e-06	22.69	0.13	7.53	0.2	64
RUNX1	0.7204	1.936e-11	7.97e-11	0.7826	2.22e-14	1.36e-13	54.4	0.14	40.18	0.36	64
RUNX2	0.8241	6.007e-17	7.22e-16	0.5036	2.22e-05	4.08e-05	8	-0.32	19.33	0.71	64
RUNX3	0.8526	3.909e-19	8.53e-18	0.7833	2.024e-14	1.25e-13	11.27	-0.71	19.01	0.87	64
RUSC1	0.5122	1.512e-05	2.64e-05	0.4897	4.02e-05	7.14e-05	9.35	0.03	2.94	0.27	64
RUSC2	0.6315	6.195e-05	0.000101	0.6174	0.0001003	0.000169	6.93	0.06	5.03	0.55	34
RUVBL1	0.4687	9.379e-05	0.000149	0.4033	0.000952	0.00141	49.84	0.08	19.89	0.15	64
RUVBL2	0.1513	0.2327	0.254	0.0757	0.552	0.579	100.76	0.09	44.69	0.16	64
RWDD1	0.7117	4.324e-11	1.67e-10	0.625	3.385e-08	9.1e-08	26.52	-0.19	6.84	0.35	64
RWDD2A	0.6535	4.792e-09	1.35e-08	0.6976	1.505e-10	5.55e-10	4.71	-0.1	2.78	0.44	64
RWDD2B	0.743	2.076e-12	1e-11	0.7758	5.151e-14	3.03e-13	14.67	-0.03	7.67	0.45	64
RWDD3	0.0569	0.6551	0.677	0.1203	0.3436	0.371	8.06	0	3.31	0.31	64
RWDD4	0.5224	9.531e-06	1.71e-05	0.5703	8.684e-07	1.93e-06	40.32	-0.02	13.73	0.24	64
RXRA	0.6994	1.287e-10	4.59e-10	0.7629	2.356e-13	1.27e-12	5.66	-0.3	10.75	0.65	64
RXRB	0.352	0.004338	0.00568	0.3874	0.001563	0.00225	36.08	0.02	8.32	0.16	64
RXYLT1	0.6329	7.526e-08	1.79e-07	0.5901	8.727e-07	1.94e-06	7.34	-0.05	3.4	0.4	59
RYBP	0.7669	1.48e-13	8.81e-13	0.7552	5.617e-13	2.88e-12	22.96	-0.18	14.12	0.52	64
RYK	0.5092	0.0003545	0.000524	0.6862	1.965e-07	4.79e-07	14.69	-0.42	17.17	0.8	45
RYR1	-0.1185	0.5728	0.598	-0.1674	0.4239	0.452	0.04	-0.06	0.1	0.47	25
RYR3	-0.0528	0.811	0.825	-0.1328	0.5457	0.573	0.1	-0.02	0.29	0.36	23
S100A1	0.8195	1.25e-16	1.39e-15	0.8858	2.394e-22	5.41e-21	3.44	-0.71	4.65	1.5	64
S100A10	0.7535	6.733e-13	3.52e-12	0.6844	4.525e-10	1.57e-09	38.05	-0.3	54.38	1.09	64
S100A11	0.8321	1.621e-17	2.26e-16	0.8366	7.441e-18	7.35e-17	90.3	-0.61	163.41	1.16	64
S100A13	0.8604	8.238e-20	2.22e-18	0.833	1.397e-17	1.32e-16	11.35	-0.13	10.81	0.96	64
S100A16	0.6988	1.352e-10	4.8e-10	0.3644	0.003073	0.00428	32.23	-0.45	105.84	1.09	64
S100A2	0.2748	0.03209	0.0386	0.2839	0.02659	0.033	0.3	-0.21	0.36	0.91	61
S100A4	0.763	2.341e-13	1.35e-12	0.7858	1.476e-14	9.23e-14	163.17	-0.48	212.09	0.83	64
S100A6	0.6295	2.525e-08	6.43e-08	0.5599	1.509e-06	3.26e-06	23.77	-1.12	41.18	1.19	64
S100A7	-0.0099	0.9379	0.945	0.0283	0.8244	0.839	0.04	-0.19	0.15	0.71	64
S100A8	0.276	0.02727	0.033	0.2663	0.0334	0.041	0.43	-0.02	1.8	0.71	64
S100A9	0.4782	6.441e-05	0.000104	0.174	0.1692	0.19	0.86	-0.22	5.12	0.58	64
S100B	0.5212	0.0001232	0.000193	0.6086	3.493e-06	7.15e-06	1.16	-0.07	4.67	1.26	49
S100PBP	0.4428	0.0002481	0.000373	0.5212	1.007e-05	1.94e-05	39.32	-0.08	13.32	0.25	64
S1PR2	0.879	1.614e-09	4.81e-09	0.4829	0.01073	0.014	9.74	0.06	20.65	0.97	27
S1PR4	0.4615	0.000124	0.000194	0.4535	0.0001678	0.000275	40.77	-0.13	34.76	0.53	64
SAAL1	0.6294	2.541e-08	6.46e-08	0.621	4.391e-08	1.16e-07	48.01	0	16.08	0.3	64
SAC3D1	0.4327	0.0003559	0.000526	0.437	0.0003057	0.000484	17.2	-0.05	7.65	0.37	64
SACM1L	0.7563	4.943e-13	2.66e-12	0.6543	4.546e-09	1.38e-08	43.79	0.08	19.43	0.29	64
SACS	0.6946	1.93e-10	6.69e-10	0.6737	1.055e-09	3.51e-09	68.78	0.05	40.43	0.41	64
SAE1	0.0098	0.9389	0.946	0.0374	0.7692	0.787	189.07	0.08	63.35	0.16	64
SAFB	0.4419	0.0002566	0.000385	0.4802	5.937e-05	0.000103	45.2	0.07	11.82	0.12	64
SAFB2	-0.0114	0.9287	0.937	0.0245	0.8476	0.86	31.51	0	9.54	0.15	64
SAG	0.1902	0.4088	0.435	0.1812	0.4318	0.46	0.18	0.1	0.24	0.38	21
SALL2	0.8535	3.316e-19	7.43e-18	0.9501	4.484e-33	2.68e-30	9.35	0.08	11.46	1.09	64
SAMD13	0.7785	9.621e-08	2.25e-07	0.8068	1.432e-08	4.06e-08	2.7	-0.25	3.54	0.56	33
SAMD4A	0.8984	3.083e-16	3.11e-15	0.8585	1.836e-13	1e-12	5.1	0.13	5.13	0.58	43
SAMD4B	0.209	0.09742	0.111	0.1864	0.1402	0.159	16.77	0.12	8.31	0.18	64
SAMD8	0.0651	0.6094	0.633	0.052	0.6831	0.705	20.1	0.04	6.64	0.29	64
SAMD9	0.6542	4.552e-09	1.29e-08	0.736	4.244e-12	1.94e-11	55.59	0.02	21.66	0.31	64
SAMD9L	0.8071	8.083e-16	7.45e-15	0.8504	6.011e-19	7.2e-18	20.05	-0.4	15.88	0.56	64
SAMHD1	0.835	9.893e-18	1.46e-16	0.7521	7.896e-13	3.97e-12	13.97	-0.33	30.55	0.94	64
SAMM50	0.2802	0.02492	0.0303	0.2182	0.08328	0.0972	25.21	0.11	6.13	0.19	64
SAMSN1	0.7773	4.286e-14	2.83e-13	0.8604	8.178e-20	1.14e-18	33.6	-0.43	65.65	1.02	64
SAP130	0.2221	0.07782	0.0898	0.2527	0.04395	0.0532	34.99	0.09	10.97	0.12	64
SAP18	0.452	0.000177	0.000272	0.4761	6.984e-05	0.00012	103	0.08	28.38	0.11	64
SAP30	0.3607	0.003414	0.00452	0.3071	0.01359	0.0175	63.07	0.07	25.65	0.2	64
SAP30BP	0.62	4.658e-08	1.15e-07	0.5701	8.771e-07	1.95e-06	25.53	0.04	5.2	0.11	64
SAP30L	0.6687	1.551e-09	4.64e-09	0.7511	8.72e-13	4.37e-12	24.03	0.04	12.73	0.41	64
SAPCD2	0.7574	4.407e-13	2.39e-12	0.8417	3.026e-18	3.21e-17	33.01	-0.26	22.01	0.59	64
SAR1A	0.6359	1.64e-08	4.28e-08	0.6247	3.456e-08	9.27e-08	63.43	-0.01	16.45	0.19	64
SAR1B	0.5224	9.543e-06	1.71e-05	0.5174	1.198e-05	2.29e-05	15.88	-0.1	5.62	0.22	64
SARAF	0.5966	1.963e-07	4.4e-07	0.6268	3.003e-08	8.12e-08	217.87	0.17	58.07	0.47	64
SARDH	0.4327	0.0003561	0.000526	0.5107	1.62e-05	3.04e-05	6.51	-0.2	10.9	0.49	64
SARM1	0.8291	2.683e-17	3.5e-16	0.8413	3.239e-18	3.4e-17	4.06	-0.1	3.69	0.97	64
SARS2	0.3777	0.002093	0.00283	0.3739	0.002336	0.0033	3.89	0.04	1.04	0.2	64
SART1	0.2933	0.01865	0.023	0.2205	0.07995	0.0936	42.32	0.04	11.4	0.1	64
SART3	0.2366	0.05979	0.0698	0.3553	0.003963	0.00543	57.2	0.11	11.79	0.17	64
SASH1	0.0321	0.8442	0.857	0.077	0.6367	0.66	0.08	0.19	0.25	0.33	40
SASH3	0.699	1.33e-10	4.73e-10	0.7701	1.02e-13	5.75e-13	274.26	0.09	174.41	0.34	64
SASS6	0.5233	9.145e-06	1.64e-05	0.5353	5.189e-06	1.04e-05	43.81	-0.16	19.76	0.32	64
SAT2	0.6871	3.625e-10	1.19e-09	0.6793	6.821e-10	2.32e-09	28.09	0.28	17.03	0.61	64
SATB1	0.7731	7.139e-14	4.52e-13	0.7768	4.529e-14	2.68e-13	46.29	-0.35	33.01	0.75	64
SATB2	0.5835	0.0002339	0.000354	0.529	0.001085	0.0016	1.71	0.19	3.16	0.89	35
SAV1	0.7025	9.814e-11	3.57e-10	0.7918	6.7e-15	4.39e-14	17.19	-0.04	8.26	0.34	64
SAYSD1	0.5119	0.0005293	0.000766	0.6412	4.762e-06	9.6e-06	20.22	0.07	10.92	0.67	42
SBDS	0.7173	2.595e-11	1.04e-10	0.5511	2.365e-06	4.96e-06	51.11	-0.12	23.33	0.3	64
SBF1	0.3788	0.002027	0.00274	0.4139	0.000674	0.00102	60.76	0.19	26.77	0.33	64
SBF2	0.7693	1.123e-13	6.84e-13	0.9011	3.484e-24	1.14e-22	9.99	-0.06	9.46	0.65	64
SBNO1	0.4352	0.0003253	0.000483	0.4211	0.0005308	0.000815	68.95	-0.02	17.5	0.2	64
SBNO2	0.6477	7.286e-09	2.01e-08	0.532	6.065e-06	1.21e-05	13.53	0.06	7	0.3	64
SBSN	-0.0282	0.8556	0.867	0.1609	0.2968	0.324	0.06	0.02	0.15	0.37	44
SC5D	0.5472	1.062e-05	1.89e-05	0.4826	0.0001438	0.000238	14.71	0.12	4.75	0.35	57
SCAF1	0.191	0.1305	0.147	0.0734	0.5641	0.591	17.81	0.19	6.75	0.17	64
SCAF11	0.3251	0.008774	0.0111	0.3663	0.002908	0.00406	82.83	0.04	29.98	0.21	64
SCAF4	0.5373	4.69e-06	8.73e-06	0.5053	2.057e-05	3.8e-05	35.01	0.14	17.12	0.2	64
SCAF8	0.3008	0.01571	0.0194	0.2703	0.03077	0.038	87.32	0	25.74	0.15	64
SCAI	0.7592	3.596e-13	1.99e-12	0.75	9.914e-13	4.93e-12	21.3	0.01	11.75	0.29	64
SCAMP1	0.5709	8.412e-07	1.72e-06	0.5929	2.442e-07	5.87e-07	38.52	0.08	9.36	0.2	64
SCAMP2	0.8114	4.304e-16	4.2e-15	0.723	1.511e-11	6.38e-11	30.22	0.04	17.91	0.32	64
SCAMP3	0.5642	1.2e-06	2.41e-06	0.5641	1.211e-06	2.64e-06	52.59	-0.02	14.08	0.21	64
SCAMP4	0.3219	0.009479	0.012	0.3609	0.003397	0.0047	6.36	0.15	3.25	0.37	64
SCAND1	0.1101	0.3865	0.413	0.0737	0.5625	0.589	10.67	-0.04	4.76	0.3	64
SCAP	0.3366	0.006539	0.00839	0.39	0.001443	0.00209	46.41	-0.02	11.78	0.22	64
SCAPER	0.6805	6.176e-10	1.97e-09	0.8104	4.935e-16	3.71e-15	13.01	0.09	7.07	0.26	64
SCARB1	0.7226	1.57e-11	6.57e-11	0.8443	1.898e-18	2.08e-17	31.45	-0.41	22.5	0.78	64
SCARB2	0.815	2.495e-16	2.57e-15	0.843	2.399e-18	2.6e-17	12.57	0.19	9.4	0.69	64
SCARF1	0.8304	2.166e-17	2.91e-16	0.8433	2.263e-18	2.46e-17	15.91	-0.03	14.04	0.64	64
SCCPDH	0.641	1.158e-08	3.09e-08	0.5604	1.465e-06	3.17e-06	181.95	0.2	106.16	0.44	64
SCD	0.838	5.844e-18	9.13e-17	0.9338	2.243e-29	3.05e-27	322.74	-0.5	368.87	0.84	64
SCD5	0.707	6.63e-11	2.49e-10	0.8144	2.741e-16	2.15e-15	30.77	0.15	22.79	0.5	64
SCFD1	0.4192	0.0005645	0.000813	0.4521	0.0001769	0.000289	31.92	-0.06	7.95	0.21	64
SCFD2	-0.0208	0.8706	0.881	0.002	0.9874	0.99	37.88	0.08	13.02	0.21	64
SCIMP	0.7359	4.304e-12	1.98e-11	0.5202	1.053e-05	2.03e-05	4.36	-0.54	7.93	0.83	64
SCIN	0.3233	0.1645	0.183	0.5053	0.02304	0.0289	0.19	-0.11	0.54	0.33	20
SCLT1	0.3938	0.001283	0.00177	0.4636	0.0001143	0.000191	19.85	-0.17	7.26	0.2	64
SCLY	0.3149	0.01126	0.0141	0.4288	0.0004076	0.000635	2.3	0.03	1.17	0.27	64
SCMH1	0.6608	2.817e-09	8.17e-09	0.8054	1.02e-15	7.37e-15	78.56	0.1	57.78	0.32	64
SCML2	0.682	5.488e-10	1.76e-09	0.815	2.487e-16	1.97e-15	36.5	0.17	31.6	0.65	64
SCML4	0.8782	1.596e-21	7.9e-20	0.8129	3.405e-16	2.63e-15	6.83	-0.28	10.17	0.8	64
SCN3A	0.8521	2.473e-07	5.46e-07	0.7744	1.445e-05	2.73e-05	13.27	0.07	19.43	0.85	23
SCN4A	0.7726	1.454e-06	2.88e-06	0.4579	0.01427	0.0183	9.01	-0.08	18.22	0.75	28
SCN5A	0.6763	0.0002852	0.000426	0.6591	0.0004604	0.000712	2.14	0.04	3.54	0.59	24
SCNM1	0.6882	3.31e-10	1.1e-09	0.5572	1.735e-06	3.71e-06	36.45	-0.19	11.85	0.28	64
SCO1	0.4916	3.707e-05	6.16e-05	0.548	2.768e-06	5.76e-06	22.71	0.01	7.45	0.21	64
SCO2	0.5709	8.415e-07	1.72e-06	0.4987	2.743e-05	4.98e-05	17.57	0.02	8.27	0.22	64
SCOC	0.5796	5.216e-07	1.1e-06	0.4315	0.0003709	0.000582	27.57	0.01	8.41	0.33	64
SCP2	0.5948	2.18e-07	4.85e-07	0.66	2.998e-09	9.35e-09	33.96	-0.06	13.94	0.32	64
SCPEP1	0.7552	5.576e-13	2.97e-12	0.851	5.361e-19	6.47e-18	47.12	0.15	37.77	0.64	64
SCRIB	0.5926	2.483e-07	5.48e-07	0.6148	6.482e-08	1.68e-07	23.83	-0.03	10.36	0.3	64
SCRN1	0.4965	3.013e-05	5.05e-05	0.453	0.000171	0.00028	7.36	-0.6	30.54	1.15	64
SCRN2	0.6413	1.135e-08	3.03e-08	0.624	3.603e-08	9.65e-08	30.63	0.11	10.86	0.38	64
SCRN3	0.5304	6.537e-06	1.19e-05	0.447	0.000213	0.000344	18.04	0.11	5.75	0.21	64
SCYL1	0.4051	0.000898	0.00127	0.3732	0.002386	0.00336	40.11	0.03	10.24	0.15	64
SCYL2	0.5241	8.807e-06	1.58e-05	0.4997	2.627e-05	4.78e-05	48.75	0.07	11.24	0.22	64
SCYL3	0.2437	0.05235	0.0615	0.2529	0.04375	0.0529	13.28	-0.05	3.54	0.21	64
SDAD1	0.5409	3.94e-06	7.41e-06	0.4485	0.0002019	0.000327	87.03	-0.03	21.22	0.22	64
SDC1	0.7683	1.264e-13	7.64e-13	0.7482	1.198e-12	5.9e-12	8.06	-0.86	14.33	1.29	64
SDC2	0.7049	7.963e-11	2.95e-10	0.5053	2.055e-05	3.79e-05	3.15	-0.72	11.22	1.08	64
SDCBP	0.7465	1.431e-12	7.06e-12	0.6203	4.589e-08	1.21e-07	60.11	-0.02	39.17	0.38	64
SDCBP2	0.3898	0.05406	0.0634	0.4369	0.02897	0.0359	1.16	-0.01	0.61	0.49	25
SDCCAG8	0.5071	1.898e-05	3.26e-05	0.5643	1.197e-06	2.61e-06	23.31	0.02	15.21	0.27	64
SDE2	0.5894	2.994e-07	6.53e-07	0.5462	3.033e-06	6.26e-06	68.12	0.08	20.45	0.29	64
SDF2	0.1537	0.2253	0.247	0.224	0.07519	0.0882	29.56	0.13	6.2	0.35	64
SDF2L1	0.7071	6.573e-11	2.47e-10	0.7311	6.888e-12	3.05e-11	17.41	-0.12	9.43	0.28	64
SDF4	0.2751	0.02781	0.0336	0.2777	0.02628	0.0327	32.04	-0.19	11.64	0.36	64
SDHA	0.3809	0.001901	0.00258	0.4092	0.0007868	0.00118	12.75	0.2	5.36	0.29	64
SDHAF1	0.4631	0.00119	0.00165	0.4309	0.002795	0.00391	21.65	-0.02	6.75	0.33	46
SDHAF3	0.8012	1.86e-15	1.59e-14	0.839	4.94e-18	5.03e-17	19.9	-0.39	15.57	0.69	64
SDHAF4	0.6073	1.034e-07	2.41e-07	0.5996	1.647e-07	4.06e-07	20.83	0.05	5.45	0.32	64
SDHB	0.2617	0.03669	0.0438	0.2786	0.02582	0.0321	88.25	0.13	27.19	0.37	64
SDHC	0.25	0.04634	0.0548	0.2121	0.09241	0.107	9.53	0.05	3.11	0.31	64
SDK1	0.958	1.606e-14	1.15e-13	0.7631	5.805e-06	1.16e-05	2.29	-0.12	3.46	1.28	26
SDK2	0.783	2.087e-14	1.47e-13	0.8373	6.654e-18	6.64e-17	14.53	-0.19	18.93	1.03	64
SDR39U1	0.7107	4.75e-11	1.82e-10	0.5885	3.149e-07	7.47e-07	26.67	0.36	7.31	0.46	64
SDSL	0.8187	1.419e-16	1.55e-15	0.8219	8.512e-17	7.2e-16	0.67	-0.39	1.08	0.79	64
SEC11A	0.3134	0.01167	0.0146	0.4135	0.0006832	0.00104	37.45	0.04	8.91	0.24	64
SEC11C	0.6566	3.846e-09	1.1e-08	0.7136	3.644e-11	1.45e-10	15.21	-0.36	10.04	0.56	64
SEC13	0.0264	0.8359	0.849	-0.0324	0.7993	0.815	56.07	0.07	12.98	0.11	64
SEC14L1	0.1682	0.184	0.204	0.1137	0.3711	0.399	10.89	-0.2	7.46	0.45	64
SEC14L2	0.8535	1.732e-17	2.4e-16	0.8121	1.025e-14	6.58e-14	2.39	0.01	2.49	0.59	58
SEC16A	0.2859	0.02199	0.0268	0.2705	0.03065	0.0378	43.36	-0.01	12.91	0.14	64
SEC22A	0.4469	0.0002139	0.000325	0.4518	0.0001787	0.000292	9.86	0.06	3.16	0.18	64
SEC22B	0.5615	1.384e-06	2.75e-06	0.4561	0.0001519	0.000251	36.32	0.06	12.2	0.19	64
SEC22C	-0.0736	0.7579	0.775	-0.1113	0.6405	0.664	33.58	-0.03	7.27	0.2	20
SEC23A	0.5197	1.08e-05	1.92e-05	0.451	0.0001839	3e-04	39.73	0.09	9.23	0.17	64
SEC23B	0.2446	0.05139	0.0605	0.3079	0.01331	0.0172	70.87	-0.16	17.65	0.2	64
SEC23IP	0.3514	0.004407	0.00576	0.1926	0.1274	0.145	33.35	-0.03	6.95	0.19	64
SEC24A	0.4943	3.308e-05	5.53e-05	0.5034	2.237e-05	4.1e-05	25.96	-0.15	6.27	0.21	64
SEC24B	0.362	0.00329	0.00436	0.2872	0.02138	0.0269	52.14	0.04	15.25	0.14	64
SEC24C	0.4932	3.459e-05	5.77e-05	0.494	3.341e-05	5.99e-05	94.4	-0.08	16.21	0.18	64
SEC24D	0.8498	6.73e-19	1.37e-17	0.8136	3.104e-16	2.41e-15	14.37	-0.14	6.83	0.27	64
SEC31A	0.4698	8.982e-05	0.000143	0.4111	0.0007389	0.00111	62.15	0.06	16.24	0.19	64
SEC61A1	0.4369	0.0003072	0.000457	0.5349	5.282e-06	1.06e-05	126.03	-0.03	23.98	0.21	64
SEC61A2	-0.048	0.8045	0.82	-0.1823	0.344	0.372	14.81	-0.05	11.87	0.28	29
SEC61B	-0.0589	0.6436	0.666	-0.1362	0.2833	0.31	101.42	0.05	29.48	0.29	64
SEC62	0.7437	1.927e-12	9.34e-12	0.7595	3.478e-13	1.84e-12	41.75	0.12	15.99	0.27	64
SEC63	0.4949	3.226e-05	5.39e-05	0.5447	3.263e-06	6.7e-06	30.97	0.01	19.54	0.3	64
SECISBP2	0.0932	0.4637	0.49	0.2692	0.03145	0.0388	39.33	-0.08	15.94	0.27	64
SECISBP2L	0.2758	0.02737	0.0331	0.2706	0.03059	0.0378	31.98	-0.02	10.72	0.21	64
SEH1L	0.3946	0.001251	0.00173	0.3337	0.007037	0.00937	35.96	0.05	16.75	0.1	64
SEL1L	0.443	0.0002464	0.000371	0.373	0.002399	0.00338	43.52	0.01	12.56	0.27	64
SEL1L3	0.7244	8.59e-08	2.02e-07	0.8695	1.634e-13	8.96e-13	26.1	-0.18	36.27	0.87	41
SELENBP1	-0.0376	0.8492	0.861	-0.1941	0.3223	0.349	0.03	-0.01	0.06	1.16	28
SELENOF	-0.0441	0.7296	0.748	-0.0192	0.8801	0.891	220.21	0.08	59.2	0.51	64
SELENOH	0.6439	9.491e-09	2.56e-08	0.6249	3.405e-08	9.14e-08	19.18	-0.05	5.32	0.91	64
SELENOI	0.3761	0.006532	0.00839	0.407	0.003039	0.00423	55.84	-0.16	22.17	0.67	51
SELENOK	0.371	0.004495	0.00587	0.3004	0.02317	0.029	35.61	-0.1	11.84	0.4	57
SELENON	0.7109	4.447e-08	1.1e-07	0.7062	5.977e-08	1.56e-07	22.29	0	18.24	0.59	45
SELENOO	0.348	0.004837	0.0063	0.3241	0.008978	0.0118	25.95	-0.03	10.39	0.37	64
SELENOP	-5e-04	0.997	0.998	0.2598	0.05312	0.0636	1.31	-0.06	3.48	1.18	56
SELENOS	0.5139	1.403e-05	2.45e-05	0.374	0.002332	0.00329	17.87	-0.24	4.98	0.49	64
SELENOT	0.2774	0.02649	0.0321	0.3191	0.01016	0.0133	87.99	-0.07	26.29	0.32	64
SELENOW	0.6209	2.571e-07	5.66e-07	0.6358	1.073e-07	2.71e-07	20.38	0.21	22.25	1.24	57
SELL	0.747	1.362e-12	6.76e-12	0.84	4.132e-18	4.26e-17	83.06	-0.77	141.08	1.24	64
SELPLG	0.62	4.67e-08	1.15e-07	0.5889	3.075e-07	7.31e-07	25.18	-0.35	55.67	0.64	64
SEMA3A	0.7309	3.487e-10	1.15e-09	0.3434	0.011	0.0143	5.25	-0.09	19.5	0.66	54
SEMA4A	0.9026	2.269e-24	3.48e-22	0.8514	4.996e-19	6.06e-18	10.95	-0.65	11.87	0.81	64
SEMA4B	0.2158	0.08677	0.0996	0.1929	0.1267	0.145	6.33	0.15	2.68	0.3	64
SEMA4C	0.7181	2.398e-11	9.72e-11	0.8256	4.735e-17	4.14e-16	7.5	-0.07	9.33	0.7	64
SEMA4D	0.9086	3.478e-25	7.63e-23	0.9016	2.997e-24	9.97e-23	31.59	-0.27	24.26	0.63	64
SEMA6C	0.808	8.64e-10	2.68e-09	0.83	1.176e-10	4.4e-10	16.4	-0.03	19.98	1.04	38
SEMA7A	0.663	2.386e-09	6.98e-09	0.5976	1.853e-07	4.53e-07	16.89	-0.83	48.53	0.88	64
SEMG1	-0.0535	0.764	0.781	0.0621	0.7272	0.748	0	-2.85	0.01	2.45	34
SEMG2	NA	NA	NA	NA	NA	NA	0	-2.47	0	0.85	21
SENP1	0.3285	0.008045	0.0102	0.237	0.0593	0.0704	45.96	-0.01	14.65	0.14	64
SENP2	0.4705	8.733e-05	0.000139	0.3941	0.001273	0.00186	26.63	-0.07	8.8	0.19	64
SENP3	0.5513	2.35e-06	4.54e-06	0.4674	9.866e-05	0.000166	14.89	0.03	4.1	0.29	64
SENP5	0.4102	0.0007628	0.00108	0.3724	0.002441	0.00344	66.98	0	16.44	0.18	64
SENP6	0.5406	3.998e-06	7.51e-06	0.5146	1.363e-05	2.58e-05	51.06	0	19.33	0.23	64
SENP7	0.7807	2.804e-14	1.93e-13	0.7814	2.565e-14	1.56e-13	39.51	0.19	15.57	0.31	64
SENP8	0.7925	6.076e-15	4.76e-14	0.8303	2.201e-17	2.02e-16	2.36	0	1.34	0.38	64
SEPHS1	0.3812	0.001888	0.00257	0.3801	0.001946	0.00278	101.66	0.03	41.14	0.14	64
SEPHS2	0.7511	8.808e-13	4.51e-12	0.5028	2.295e-05	4.2e-05	37.62	-0.01	24.52	0.31	64
SEPSECS	0.6308	2.318e-08	5.94e-08	0.566	1.091e-06	2.4e-06	24.23	0.11	7.96	0.26	64
SERAC1	0.7406	2.661e-12	1.27e-11	0.7424	2.203e-12	1.05e-11	4.81	0.06	2.53	0.43	64
SERBP1	0.6626	2.456e-09	7.16e-09	0.6285	2.695e-08	7.33e-08	241.03	-0.07	95.13	0.16	64
SERF2	0.2921	0.01916	0.0235	0.3517	0.00437	0.00596	105.44	-0.15	25.46	0.29	64
